iter	Passed	Remaining
528	10269	9143
529	10284	9120
530	10295	9093
531	10313	9072
532	10329	9050
533	10342	9025
534	10354	8999
535	10365	8972
536	10381	8950
537	10396	8928
538	10416	8908
539	10434	8888
540	10452	8867
541	10461	8840
542	10471	8813
543	10485	8789
544	10501	8767
545	10513	8742
546	10527	8718
547	10543	8696
548	10552	8669
549	10563	8643
550	10574	8616
551	10588	8593
552	10597	8566
553	10608	8540
554	10620	8515
555	10633	8491
556	10650	8470
557	10669	8451
558	10688	8432
559	10702	8409
560	10723	8391
561	10738	8369
562	10758	8350
563	10772	8327
564	10784	8303
565	10801	8282
566	10812	8256
567	10826	8233
568	10845	8215
569	10860	8193
570	10876	8171
571	10893	8151
572	10907	8128
573	10918	8103
574	10930	8079
575	10942	8054
576	10951	8028
577	10962	8003
578	10979	7983
579	10996	7963
580	11015	7944
581	11029	7921
582	11046	7901
583	11056	7875
584	11070	7853
585	11081	7828
586	11093	7805
587	11106	7782
588	11116	7757
589	11127	7732
590	11141	7710
591	11150	7684
592	11160	7660
593	11172	7636
594	11187	7615
595	11204	7594
596	11218	7573
597	11233	7551
598	11243	7526
599	11260	7506
600	11275	7485
601	11290	7464
602	11304	7442
603	11317	7419
604	11329	7397
605	11341	7373
606	11353	7350
607	11366	7328
608	11382	7307
609	11397	7286
610	11408	7263
611	11419	7240
612	11432	7217
613	11443	7193
614	11454	7170
615	11470	7150
616	11488	7131
617	11505	7111
618	11518	7089
619	11535	7070
620	11561	7055
621	11575	7034
622	11585	7010
623	11601	6990
624	11617	6970
625	11627	6946
626	11646	6928
627	11660	6906
628	11673	6885
629	11688	6864
630	11698	6840
631	11713	6820
632	11734	6803
633	11753	6784
634	11767	6764
635	11780	6742
636	11790	6719
637	11810	6701
638	11823	6679
639	11834	6656
640	11844	6633
641	11856	6611
642	11871	6591
643	11892	6573
644	11913	6557
645	11927	6536
646	11938	6513
647	11955	6494
648	11968	6472
649	11980	6451
650	11990	6428
651	12004	6407
652	12020	6387
653	12039	6369
654	12054	6349
655	12071	6330
656	12088	6310
657	12098	6288
658	12108	6265
659	12124	6246
660	12144	6228
